Organisation,Description,Category,Tech Stack,Tags,Idea List,IRC Channel,Org Page
appleseedhq,A modern open source rendering engine for animation and visual effects,"
Graphics / Video / Audio / Virtual Reality
","['c++11', 'python', 'opengl']","['computer graphics', 'image synthesis', 'rendering', 'animation', 'simulation']",https://github.com/appleseedhq/appleseed/wiki/List-of-Project-Ideas-for-GSoC-2019,https://discord.gg/dNCE5J8,https://summerofcode.withgoogle.com/archive/2019/organizations/5485316792647680/
Ardupilot.org,The worlds most advanced open source autopilot,"
Other
","['drones', 'python', 'linux', 'robotics', 'c/c++']","['vison', 'robotics', 'embedded systems', 'real-time os', 'drones']",http://ardupilot.org/dev/docs/gsoc-ideas-list.html,https://gitter.im/ArduPilot/GSoC,https://summerofcode.withgoogle.com/archive/2019/organizations/6052415684476928/
Bazel,"Build and test software of any size, quickly and reliably","
Programming Languages and Development Tools
","['windows', ' c/c++', ' java', 'bazel']","['build tools', 'developer tools']",https://github.com/bazelbuild/bazel/wiki/Project-Ideas,mailto:bazel-dev@googlegroups.com,https://summerofcode.withgoogle.com/archive/2019/organizations/5906507105828864/
BeagleBoard.org,Open hardware computing from kindergarten to kickstarter,"
Other
","['raspberry pi', 'linux kernel', 'javascript', 'python', 'hardware acceleration']","['real time', ' robotics', 'hardware', 'machine learning', 'privacy/security']",https://beagleboard.org/gsocideas,https://beagleboard.org/gsocchat,https://summerofcode.withgoogle.com/archive/2019/organizations/6713523407683584/
Berkman Klein Center for Internet and Society,"Exploring cyberspace, sharing in its study, & helping to pioneer its development","
Other
","['ruby on rails', 'meteor.js', 'elasticsearch', ' python', ' java']","['web', 'research', 'education', 'internet freedom', 'internet censorship']",https://cyber.harvard.edu/gsoc,https://cyber.harvard.edu/gsoc/Main_Page#Contact_Us,https://summerofcode.withgoogle.com/archive/2019/organizations/5781930639884288/
"Biomedical Informatics, Emory University","Department of Biomedical Informatics (BMI), Emory University School of Medicine","
Science and Medicine
","['python', 'java', 'deep learning', 'medical imaging', 'tensorflow']","['data integration', 'distributed systems', 'cloud', 'precision medicine', 'science and medicine']",https://github.com/sharmalab/Emory-BMI-GSoC-2019#list-of-ideas,https://github.com/sharmalab/Emory-BMI-GSoC-2019#communicating-with-the-mentors,https://summerofcode.withgoogle.com/archive/2019/organizations/4661625682919424/
Blender Foundation,"Free and open source 3D creation for everyone, forever.","
Graphics / Video / Audio / Virtual Reality
","['c', 'c++', 'python', 'opengl']","['3d', 'modeling', 'rendering', 'animation', 'vfx']",https://wiki.blender.org/wiki/GSoC/Ideas_Suggestions,https://www.blender.org/get-involved/developers/,https://summerofcode.withgoogle.com/archive/2019/organizations/4524507157495808/
Boost C++,Boost provides free peer-reviewed portable C++ source libraries,"
Programming Languages and Development Tools
",['c++ libraries c++11 c++14 c++17 c++20'],['c++ libraries c++ standard'],https://github.com/boostorg/boost/wiki/Google-Summer-of-Code:-2019,https://www.boost.org/community/irc.html,https://summerofcode.withgoogle.com/archive/2019/organizations/5525710674853888/
BRL-CAD,"Solid geometry, computer graphics, 3D printing, modeling, CAD, CAM, & other CAx!","
Graphics / Video / Audio / Virtual Reality
","['c/c++', 'opengl', 'opencl', 'python', 'javascript']","['ray tracing', 'solid geometry', '2d/3d graphics', 'cad/cam/cae', 'performance']",https://github.com/opencax/GSoC/issues,https://brlcad.zulipchat.com,https://summerofcode.withgoogle.com/archive/2019/organizations/6089800153563136/
Buildroot,Making Embedded Linux easy,"
Programming Languages and Development Tools
","['gnu make', 'kconfig', 'python', 'shell']","['embedded systems', 'linux', 'build tools', 'compilation']",https://elinux.org/Buildroot:GSoC2019Ideas,https://buildroot.org/support.html,https://summerofcode.withgoogle.com/archive/2019/organizations/5526850200141824/
Canadian Center for Computational Genomics,Analytical solutions for Next-Generation Sequencing data,"
Science and Medicine
","['python', ' r-project', ' javascript', ' react', ' nodejs']","['bioinformatics', ' science', ' visualization', ' statistics', ' web']",https://bitbucket.org/mugqic/gsoc_2019,mailto:gsoc2019@computationalgenomics.ca,https://summerofcode.withgoogle.com/archive/2019/organizations/5152322794029056/
Catrobat,Computational Thinking for All with Free Visual Coding Apps,"
Programming Languages and Development Tools
","['java', 'android', 'swift', 'symfony']","['visual programming', 'app development', 'gaming', 'web']",http://developer.catrobat.org/gsoc_2019_ideas_page.html,https://catrob.at/mailinglist,https://summerofcode.withgoogle.com/archive/2019/organizations/6726416631070720/
cBioPortal for Cancer Genomics,Developing open source solutions for discovery from complex cancer data,"
Data and Databases
","['java', 'javascript', 'reactjs', 'database', 'web apps']","['genomics', 'bioinformatics', 'big data', 'data visualization', 'cancer research']",https://github.com/cBioPortal/GSoC/wiki/ideas,https://slack.cbioportal.org/,https://summerofcode.withgoogle.com/archive/2019/organizations/6278222700871680/
CBMI@UTHSC,We develop Biomedical and Clinical informatics applications,"
Science and Medicine
","['reactjs', ' python', 'flask', 'javascript', 'tensorflow']","['machine learning', 'deep learning', 'sepsis prediction', 'sepsis detection', ' web applications']",https://docs.google.com/document/d/1HQCrOy694zVUnhx7xibheohTeonS1OzEKW22RbEUyvU/edit#,https://groups.google.com/forum/#!forum/cbmiuthsc-gsoc/new,https://summerofcode.withgoogle.com/archive/2019/organizations/6344880593305600/
CCExtractor Development,"Tools to make the world more accessible, starting with media","
Graphics / Video / Audio / Virtual Reality
","['ai', 'c', 'python', 'cloud', 'javascript']","['vision', 'ai', 'subtitles', 'accessibility', 'tv']",https://www.ccextractor.org/public:gsoc:ideas_page_for_summer_of_code_2019,https://www.ccextractor.org/public:general:support,https://summerofcode.withgoogle.com/archive/2019/organizations/6733668347805696/
Center for Research in Open Source Software at UC Santa Cruz,Bridging Gap Between Student Work and Successful Open Souce Projects,"
Other
","['python', ' javascript', ' c/c++', 'verilog']","['cloud databases', 'reproducibility', 'ceph', 'architecture', 'generative text']",https://github.com/uccross/uccross.github.io/blob/master/gsoc19.md,https://gitter.im/uccross/gsoc,https://summerofcode.withgoogle.com/archive/2019/organizations/5907529257713664/
CERN-HSF,Umbrella organization for Particle (High-Energy) Physics-related projects,"
Science and Medicine
","[' c/c++', 'python', 'data analysis', 'parallelization', 'machine learning']","['physics', 'particle physics', 'high-energy physics', 'big data', 'machine learning']",https://hepsoftwarefoundation.org/activities/gsoc.html,http://hepsoftwarefoundation.org/activities/gsoc.html,https://summerofcode.withgoogle.com/archive/2019/organizations/4534645092253696/
CGAL project,C++ library of computational geometry and geometry processing,"
Science and Medicine
","['c++', 'git', 'swig', 'python']","['computational geometry', 'geometry processing', 'mesh processing', 'arrangement', 'point set processing']",https://github.com/CGAL/cgal/wiki/Project-Ideas,https://www.cgal.org/mailing_list.html,https://summerofcode.withgoogle.com/archive/2019/organizations/4870847817318400/
CHAOSS,Aimed at improving our understanding of open source health and sustainability,"
Social / Communications
","['python', 'javascript', 'jupyter', 'mysql', 'elasicsearch']","['community', 'health', 'sustainability', 'metrics']",https://github.com/chaoss/governance/blob/master/GSoC-Ideas.md,https://chaoss.community/participate/,https://summerofcode.withgoogle.com/archive/2019/organizations/6603033897598976/
Chapel,a Productive Parallel Programming Language,"
Programming Languages and Development Tools
","['chapel', 'python', 'high performance computing', 'c', 'c++']","['programming languages', 'compilers', 'high performance computing', 'distributed computing', 'parallel computing']",http://chapel-lang.org/gsoc,https://gitter.im/chapel-lang/chapel,https://summerofcode.withgoogle.com/archive/2019/organizations/5677337046155264/
Checker Framework,"Prevent programming errors before they happen, via easy-to-use verification","
Programming Languages and Development Tools
",['java'],"['pragrammer productivity', 'software engineering', 'verification', 'bug finding', 'programming languages']",https://rawgit.com/typetools/checker-framework/master/docs/developer/gsoc-ideas.html,https://groups.google.com/forum/#!forum/checker-framework-gsoc,https://summerofcode.withgoogle.com/archive/2019/organizations/4937505709752320/
CircuitVerse.org,Have fun exploring logic circuits right from your browser!,"
Web
","['rails', ' javascript', 'postgresql', 'bootstrap', 'html5 canvas']","['web', 'simulations', 'pedagogy', ' education', 'digital logic design']",https://github.com/CircuitVerse/CircuitVerse/wiki/Project-Ideas,https://gitter.im/CircuitVerse/community?utm_source=share-link&amp;utm_medium=link&amp;utm_campaign=share-link,https://summerofcode.withgoogle.com/archive/2019/organizations/6563824134520832/
CiviCRM,Growing and sustaining relationships,"
Data and Databases
","['php', 'mysql', ' angularjs', 'javascript']",['crm'],https://lab.civicrm.org/community/gsoc/blob/master/projects.md,https://chat.civicrm.org,https://summerofcode.withgoogle.com/archive/2019/organizations/4799145083142144/
"CLiPS, University of Antwerp",Computational Psycholinguistics,"
Data and Databases
","[' python', ' javascript', 'mongodb']","['natural language processing', 'machine learning', 'artificial intelligence', 'text analytics', 'text generation']",https://docs.google.com/document/d/1fdsApd42kg7ujq5a1rmS_AViJAFUEWipDLAufc5u2pg,http://www.clips.uantwerpen.be:3001/,https://summerofcode.withgoogle.com/archive/2019/organizations/5344579304292352/
Cloud Native Computing Foundation (CNCF),Sustaining and Integrating Cloud Native Open Source Technologies,"
Cloud
","['kubernetes', 'golang', 'prometheus', 'docker']","['cloud', 'containers']",https://github.com/cncf/soc#project-ideas,https://github.com/cncf/soc,https://summerofcode.withgoogle.com/archive/2019/organizations/6034778267058176/
CloudCV,Building platforms for reproducible AI research,"
Cloud
","['python 3', 'django', 'aws', 'angularjs', 'docker']","['machine learning', 'artificial intelligence', 'deep-learning', 'computer vision']",https://gsoc.cloudcv.org/,https://gitter.im/Cloud-CV/,https://summerofcode.withgoogle.com/archive/2019/organizations/4813273243844608/
coala,Linting and Fixing Code for All Languages,"
Programming Languages and Development Tools
","['python 3', ' java', ' angularjs', ' haskell', ' docker']","['code analysis', ' chatops', ' devops']",https://projects.coala.io,http://coala.io/chat,https://summerofcode.withgoogle.com/archive/2019/organizations/5097595045675008/
Computational Biology @ University of Nebraska-Lincoln,"Tool development in bioinformatics, computational biology, data visualization","
Science and Medicine
","['javascript', 'react', 'postgresql', 'webgl']","['web application', 'bioinformatics', 'computational biology', 'data science', 'network biology']",http://helikarlab.org/GSoC2019.html,https://groups.google.com/forum/#!forum/helikarlab-gsoc,https://summerofcode.withgoogle.com/archive/2019/organizations/6093511005306880/
coreboot,open source firmware projects,"
Operating Systems
","['c', 'assembler']","['firmware', 'hardware']",https://doc.coreboot.org/contributing/project_ideas.html,https://doc.coreboot.org/community/forums.html,https://summerofcode.withgoogle.com/archive/2019/organizations/6048278473342976/
Creative Commons,"Nonprofit building tools to promote digital creativity, sharing, and innovation.","
Other
","['javascript', 'python', 'postgresql', 'wordpress', 'elasticsearch']","['copyleft', 'legal', 'nonprofit', 'web', 'creative commons']",https://creativecommons.github.io/gsoc-2019/project-ideas/,https://creativecommons.github.io/community/,https://summerofcode.withgoogle.com/archive/2019/organizations/5500455663173632/
CRIU (Checkpoint/Restore in User-space),CRIU (Checkpoint/Restore in User-space),"
Operating Systems
","['docker', 'linux', 'containers', 'kernel']","['cloud', 'save/restore', 'load-balancing', 'zero-downtime', 'migration']",https://criu.org/Google_Summer_of_Code_Ideas,https://lists.openvz.org/mailman/listinfo/criu,https://summerofcode.withgoogle.com/archive/2019/organizations/6267159469096960/
Cuneiform Digital Library Initiative (CDLI),International digital library of artifacts inscribed with cuneiform writing,"
Data and Databases
","['python', 'php', 'mysql', ' java', 'html/css']","['computer vision', 'nlp', 'lod', 'data processing pipeline', 'data-collection']",https://github.com/cdli-gh/Framework/wiki/Google-Summer-of-Code-2019-Ideas-List,mailto:cdli@ucla.edu,https://summerofcode.withgoogle.com/archive/2019/organizations/4653253634031616/
D Programming Language,"Fast code, fast.","
Programming Languages and Development Tools
","['dlang', 'linux', 'windows', 'osx', 'bsd']","['programming languages', 'object-oriented programming', 'functional programming', 'web programming', 'system programming']",https://wiki.dlang.org/GSOC_2019_Ideas,https://kiwiirc.com/nextclient/#irc://irc.freenode.net/#d,https://summerofcode.withgoogle.com/archive/2019/organizations/6223494952517632/
DBpedia,Global and Unified Access to Knowledge.,"
Data and Databases
","[' apache spark', ' python', ' javascript', 'skala', 'java']","['semantic web', ' linked data', ' ontologies', ' wikipedia', 'knowledge graph']",https://github.com/dbpedia/GSoC/issues,https://wiki.dbpedia.org/join/get-in-touch,https://summerofcode.withgoogle.com/archive/2019/organizations/5142599592050688/
Debian,The Universal Operating System,"
Operating Systems
","['git', 'python', 'javascript', ' c/c++', 'irc']","[' operating system', 'packaging']",https://wiki.debian.org/SummerOfCode2019/Projects,https://wiki.debian.org/IRC,https://summerofcode.withgoogle.com/archive/2019/organizations/4816120068964352/
Developers Italia,An open community of digital public services developers,"
Other
","['python', 'go', 'scala', 'node.js', 'html/css/js']","['open government', 'public code', ' open source', ' web applications', 'open data']",https://developers.italia.it/en/gsoc-ideas,https://slack.developers.italia.it/,https://summerofcode.withgoogle.com/archive/2019/organizations/5926253033422848/
Digital Impact Alliance,Supporting open source projects for a digital society that serves everyone.,"
Other
","[' android', 'java', 'php', 'python', 'javascript']","['end user application', 'humanitarian', 'international', 'social good', 'charity']",http://gsoc.dial.community/,https://dial.zulipchat.com/#narrow/stream/110501-OSC-Summer.20of.20Codel,https://summerofcode.withgoogle.com/archive/2019/organizations/6180395375132672/
Django Software Foundation,The web framework for perfectionists with deadlines.,"
Web
","['python', 'django']",['web development'],https://code.djangoproject.com/wiki/SummerOfCode2019,https://docs.djangoproject.com/en/dev/internals/contributing/new-contributors/,https://summerofcode.withgoogle.com/archive/2019/organizations/5608632467587072/
Drupal,"Drupal is a Free, Open, Modular CMS written in PHP. Let's make something amazing","
Web
","['php', 'symfony', 'sql', 'javascript', 'drupal 8']","['web development', 'content management', 'web application', 'martech', 'backend']",https://groups.drupal.org/node/534703,https://drupal.slack.com/messages/C2ESCQHNX,https://summerofcode.withgoogle.com/archive/2019/organizations/4872193886912512/
Earth Science Information Partners,Supporting community development of visionary Earth science data technology.,"
Science and Medicine
","['python', 'kubernetes', 'jupyter', 'deep learning', 'gdal']","['earth observation', 'cloud databases', ' data visualisation', 'semantic web', 'data-science']",https://github.com/ESIPFed/gsoc/issues,https://esip-slack-invite.herokuapp.com/,https://summerofcode.withgoogle.com/archive/2019/organizations/6268499498893312/
Fedora Project,"Fedora Linux is built on the foundations of Freedom, Friends, Features, & First","
Operating Systems
","[' python', 'html/css/js', 'rest', 'angular', 'golang']","['containers', 'linux', 'distribution', 'mobile', 'web development']",https://docs.fedoraproject.org/en-US/mentored-projects/gsoc/2019/ideas/,https://webchat.freenode.net/?channels=#fedora-summer-coding,https://summerofcode.withgoogle.com/archive/2019/organizations/6739854375780352/
FFmpeg,"A complete, cross-platform solution to record, convert and stream multimedia.","
Graphics / Video / Audio / Virtual Reality
","['c99', 'assembler']","['video', 'audio', 'multimedia', 'image processing']",https://trac.ffmpeg.org/wiki/SponsoringPrograms/GSoC/2019,https://ffmpeg.org/contact.html#IRCChannels,https://summerofcode.withgoogle.com/archive/2019/organizations/6415948024643584/
FOSDEM,The organization that handles all aspects of the FOSDEM conference,"
Programming Languages and Development Tools
","['javascript', 'grafana', 'voctomix', 'influxdb', 'ruby on rails']","['conference', 'web development', 'rails application', 'video processing']",https://docs.google.com/document/d/1NfUqP5nWyCnImszcpBnwKQ-YGzwclv3D0mYe8YuldJg/edit?usp=sharing,http://webchat.freenode.net/?channels=fosdem-gsoc,https://summerofcode.withgoogle.com/archive/2019/organizations/5379070022385664/
FOSSASIA,Improving People's live with Open Tech,"
Other
","['javascript', 'python', 'java', 'reactjs', 'c']","['artificial intelligence', 'event management', 'open science', 'voice assistants', 'search']",https://labs.fossasia.org/ideas.html,https://gitter.im/fossasia/fossasia,https://summerofcode.withgoogle.com/archive/2019/organizations/5483378286002176/
FOSSology Project,FOSSology is an open source license compliance software system and toolkit.,"
Other
","['postgresql', 'php', ' c/c++', 'jquery', 'bash']","['compliance', 'license-scan', 'oss licensing', 'spdx', 'oss compliance']",https://github.com/fossology/fossology/issues/1266,https://fossology.slack.com,https://summerofcode.withgoogle.com/archive/2019/organizations/4832912116023296/
FrameNet Brasil at the Federal University of Juiz de Fora,Natural Language Understanding with structured computational semantics,"
Data and Databases
","['php', 'mysql', 'javascript', ' python']","['natural language processing', 'multimodality', 'natural language understanding', 'image processing', 'machine translation']",http://www.ufjf.br/framenetbr-eng/summer-of-code/,https://framenetbrgsoc.slack.com,https://summerofcode.withgoogle.com/archive/2019/organizations/5090343328940032/
Free and Open Source Silicon Foundation,Working together to improve the Free and Open Source Silicon ecosystem,"
Other
","['verilog', 'compiler', 'risc-v', 'web development', 'jenkins']","['hardware', 'web services', 'debug', 'simulation', 'electronic design tools']",https://fossi-foundation.org/gsoc19-ideas,https://gitter.im/librecores/Lobby,https://summerofcode.withgoogle.com/archive/2019/organizations/5087457110917120/
FreeBSD,FreeBSD: The Foundation of the Internet,"
Operating Systems
","[' c/c++', 'llvm', 'shell script', ' assembly', 'make']","['virtualization', ' kernel', 'cloud', ' embedded systems', 'security']",https://wiki.freebsd.org/SummerOfCodeIdeas,https://wiki.freebsd.org/SummerOfCode/IRC,https://summerofcode.withgoogle.com/archive/2019/organizations/6504969929228288/
FreeType,FreeType font rendering library,"
Graphics / Video / Audio / Virtual Reality
","['c', 'gnu make', 'gnu autotools', 'python', 'fonts']","['fonts', 'truetype', 'opentype', 'rendering', 'graphics']",https://www.freetype.org/gsoc.html,https://lists.nongnu.org/mailman/listinfo/freetype-devel,https://summerofcode.withgoogle.com/archive/2019/organizations/6561043747176448/
freifunk,Freifunk is a non-commercial initiative for free and open wireless networks.,"
Social / Communications
","['c', 'python', 'ruby', 'openwrt', 'html/css/js']","['network', 'embedded systems', 'web apps', 'wireless communications', 'software defined networking']",https://projects.freifunk.net,http://irc.freifunk.net,https://summerofcode.withgoogle.com/archive/2019/organizations/6609278192844800/
"Genes, Genomes and Variation",Authoritative databases of genome sequences and their function,"
Science and Medicine
","['perl', 'mysql', ' javascript', ' python', 'rest']","['genomics', 'data analysis', 'databases', ' scientific visualization']",http://www.ensembl.info/about/student-projects/,http://lists.ensembl.org/mailman/listinfo/dev,https://summerofcode.withgoogle.com/archive/2019/organizations/4535509118877696/
GENIVI Alliance,Developing open software for IVI and the connected car.,"
Other
","['yocto', 'embedded', 'automotive', 'some/ip']","['automotive', 'graphics', 'communication', 'bigdata', ' embedded systems']",https://at.projects.genivi.org/wiki/x/2QDe,https://lists.genivi.org/mailman/listinfo/genivi-projects_lists.genivi.org,https://summerofcode.withgoogle.com/archive/2019/organizations/5661409025720320/
Gentoo Foundation,"A flexible, source-based Linux distribution.","
Operating Systems
","['shell script', 'bash', ' c/c++', ' python', 'linux kernel']","['operating systems', 'package management', ' embedded systems', 'application security', 'init systems']",https://wiki.gentoo.org/wiki/Google_Summer_of_Code/2019/Ideas,https://wiki.gentoo.org/wiki/Google_Summer_of_Code/2019/Application_Guidelines,https://summerofcode.withgoogle.com/archive/2019/organizations/4508206280212480/
Git,"fast, scalable, distributed revision control system","
Programming Languages and Development Tools
","['c', 'shell', 'git']","['version-control', 'dvcs']",https://git.github.io/SoC-2019-Ideas/,http://git-scm.com/community,https://summerofcode.withgoogle.com/archive/2019/organizations/6548634445807616/
Global Alliance for Genomics and Health,We develop open standards and tools for genomics to benefit human health,"
Science and Medicine
","[' java', 'mongodb', 'spring']","['genomics', 'genetics', 'bioinformatics', 'web', 'standards']",https://docs.google.com/document/d/1Aw413LFR6ILqjXJoNpbZ-51f52oN8mEvp0MPvxWVXRE/edit?usp=sharing,mailto:gsoc@genomicsandhealth.org,https://summerofcode.withgoogle.com/archive/2019/organizations/6722565253365760/
GNOME,The elegant and ethical desktop experience,"
Operating Systems
","['c', 'javascript', 'gtk+', 'python', 'rust']","['desktop', 'design', 'operating system', 'end user application', 'application']",https://wiki.gnome.org/Outreach/SummerOfCode/2019/Ideas,https://wiki.gnome.org/Community/GettingInTouch/IRC,https://summerofcode.withgoogle.com/archive/2019/organizations/6458159500099584/
GNSS-SDR,An open source Global Navigation Satellite Systems software-defined receiver,"
Science and Medicine
","[' c/c++', 'c++ libraries c++11 c++14 c++17 c++20', 'c++17', 'gnss', 'sdr']","['gnss', ' geolocation', ' navigation', ' software defined radio', ' communications']",https://gnss-sdr.org/google-summer-code-2019-ideas-list/,http://lists.sourceforge.net/lists/listinfo/gnss-sdr-developers,https://summerofcode.withgoogle.com/archive/2019/organizations/6369884148072448/
GNU Compiler Collection,A set of compilers produced by the GNU project,"
Programming Languages and Development Tools
","[' c/c++', 'gnu autotools']","['compilers', 'toolchain', 'openmp']",https://gcc.gnu.org/wiki/SummerOfCode,https://gcc.gnu.org/wiki/GCConIRC,https://summerofcode.withgoogle.com/archive/2019/organizations/4808868352229376/
GNU Mailman,the GNU Mailing List Manager,"
End User Applications
","['python 3', 'email', 'rest', 'django']",['email'],https://wiki.list.org/x/17892040,https://webchat.freenode.net/?channels=#mailman,https://summerofcode.withgoogle.com/archive/2019/organizations/5170270925488128/
GNU Octave,Free Your Numbers,"
Programming Languages and Development Tools
","['c++', 'hg']","['mathematics', 'numerical computation', 'numerical methods', 'matlab', 'scientific computing']",http://wiki.octave.org/Summer_of_Code_Project_Ideas,https://webchat.freenode.net/?channels=#octave,https://summerofcode.withgoogle.com/archive/2019/organizations/6521761976287232/
GNU Radio,GNU Radio: The free & open software radio ecosystem.,"
Science and Medicine
","['python', 'c++', 'qt', 'android']","['software defined radio', 'software radio', 'radar', 'wireless communications', 'digital signal processing']",https://wiki.gnuradio.org/index.php/GSoCIdeas,https://www.gnuradio.org/about/,https://summerofcode.withgoogle.com/archive/2019/organizations/6350475543183360/
Godot Engine,Multi-platform fully-featured 2D and 3D game engine,"
Graphics / Video / Audio / Virtual Reality
","['c++', 'gdscript', 'opengl', 'cpp', 'github']","['game engine', ' graphics', 'game development', 'real time', 'cross-platform']",https://github.com/godotengine/godot-roadmap/blob/master/GSoC/GSoC-2019.md,https://godotengine.org/community,https://summerofcode.withgoogle.com/archive/2019/organizations/4692174627667968/
gprMax,Simulating electromagnetic wave propagation for Ground Penetrating Radar,"
Science and Medicine
","['python', 'cuda', 'openmp', 'cython', 'mpi']","['engineering', 'geophysics', 'science', 'electromagnetics', 'ground penetrating radar']",https://github.com/gprMax/gprMax/blob/master/gsoc/project-ideas-2019.md,https://groups.google.com/forum/?hl=en-GB#!forum/gprmax,https://summerofcode.withgoogle.com/archive/2019/organizations/5844947004030976/
Haiku,Integrated operating system for personal computers,"
Operating Systems
","['c++', 'unix', 'posix', 'arm', 'x86']","['desktop', 'graphics', 'filesystems', 'drivers', 'kernel']",https://www.haiku-os.org/community/gsoc/2019/ideas,https://www.haiku-os.org/community/irc,https://summerofcode.withgoogle.com/archive/2019/organizations/4805982134206464/
Haskell.Org,"Standardized, statically typed, lazy functional programming language","
Programming Languages and Development Tools
","['haskell', 'ghc', 'servant', 'codeworld', 'cabal']","['haskell', 'functional programming', 'education', 'build tools', 'compilers']",https://summer.haskell.org/ideas.html,https://summer.haskell.org/contact.html,https://summerofcode.withgoogle.com/archive/2019/organizations/6049761981890560/
Hydra Ecosystem,Automate REST APIs. Next generation API clients.,"
Web
","['python', 'redis', 'flask', 'javascript', 'sql']","['semantic web', 'api', 'web', 'hydra', 'docker']",https://www.hydraecosystem.org/gsoc-19,https://gitter.im/HTTP-APIs/Lobby,https://summerofcode.withgoogle.com/archive/2019/organizations/5054921525690368/
INCF,Advancing global collaborative brain research,"
Science and Medicine
","['python', 'javascript', 'jupyter', 'c++', 'xml']","['neuroscience', 'brain modelling', 'bio/neuro image processing', 'big data', ' science']",https://www.incf.org/gsoc2019/projectlist,mailto:info@incf.org,https://summerofcode.withgoogle.com/archive/2019/organizations/5347624150892544/
Inkscape,"Inkscape is a professional vector graphics editor for Windows, Mac OS X & Linux.","
Graphics / Video / Audio / Virtual Reality
","['svg', 'css', 'c++11', 'gtk', ' python']",['vector graphics'],http://wiki.inkscape.org/wiki/index.php/Google_Summer_of_Code#Suggested_Project_Ideas,https://inkscape.org/community/discussion/,https://summerofcode.withgoogle.com/archive/2019/organizations/5818074534510592/
