Organisation,Description,Category,Tech Stack,Tags,Idea List,IRC Channel,Org Page
52°North Initiative for Geospatial Open Source Software GmbH,52°North works on innovative ideas and technologies in geoinformatics.,"
Other
","['web services', 'ogc standards', 'java', 'javascript', 'web']","['geoinformatics', 'sensor web', 'web-based geoprocessing', 'spatial data infrastructures', 'spatial information']",https://wiki.52north.org/Projects/GSoC2017ProjectIdeas,http://list.52north.org/mailman/listinfo/gsoc,https://summerofcode.withgoogle.com/archive/2017/organizations/4959751460880384/
AboutCode,"Open Source for Open Source: software license, origin and packages discovery","
Programming Languages and Development Tools
","['python', 'c/c++', 'javascript', ' shell script', 'static analysis']","['free and open source software  license and origin', 'package and dependencies licensing and origin', 'package vulnerabilities and security', 'code scan and matching', 'code analysis and spdx']",https://github.com/nexB/aboutcode/wiki/GSOC-2017,https://webchat.freenode.net/?channels=#aboutcode,https://summerofcode.withgoogle.com/archive/2017/organizations/6448304984424448/
AerospaceResearch.net,Making Space Together,"
Science and Medicine
","['python', 'c/c++', 'vhdl', 'boinc']","['cubesats', 'space applications', 'software defined radio', 'distributed computing', 'simulations']",http://aerospaceresearch.net/?page_id=202,https://lists.shackspace.de/mailman/listinfo/constellation,https://summerofcode.withgoogle.com/archive/2017/organizations/6713622831038464/
aimacode,"Code for the book ""Artificial Intelligence: A Modern Approach""","
Programming Languages and Development Tools
","['python', ' javascript', 'machine learning', 'artificial intelligence', 'java']","['artificial intelligence', 'machine learning', 'education']",http://aima.cs.berkeley.edu/gsoc-ideas.html,https://gitter.im/aimacode/,https://summerofcode.withgoogle.com/archive/2017/organizations/6119722806411264/
Amahi,Making Home Networking and Storage Simple,"
Operating Systems
","[' android', 'golang', 'restful api', 'streaming', 'ruby on rails']","['home servers', 'networking', 'storage', 'webapps', 'mobile streaming']",https://wiki.amahi.org/index.php/Google_Summer_of_Code_Ideas,http://talk.amahi.org,https://summerofcode.withgoogle.com/archive/2017/organizations/6673844588773376/
AOSSIE - Australian Open Source Software Innovation and Education,Umbrella Org for Open-Source Projects in Australia,"
Science and Medicine
","['scala', 'javascript/html/css', 'automated reasoning', 'android/ios', 'xcode']","['logic', 'electronic voting', 'natural language processing', 'philosophy', 'environment']",https://aossie.gitlab.io/#ideas,https://groups.google.com/forum/#!forum/aossie-gsoc-2017,https://summerofcode.withgoogle.com/archive/2017/organizations/4780102642565120/
Apache Software Foundation,Providing open source software to the public free of charge,"
Other
","['java', 'c', 'erlang']","['cloud', 'libraries', 'big data']",http://s.apache.org/gsoc2017ideas,https://wiki.apache.org/general/IRC,https://summerofcode.withgoogle.com/archive/2017/organizations/4633151007621120/
Apertium,Free/open-source rule-based machine translation,"
Other
","['c++', 'xml', 'python', 'nlp']","['natural language processing', 'machine translation', 'lesser-resourced languages']",http://wiki.apertium.org/wiki/Ideas_for_Google_Summer_of_Code,http://wiki.apertium.org/wiki/IRC,https://summerofcode.withgoogle.com/archive/2017/organizations/6618812501721088/
Apertus Association,Open Technology for Professional Film Production,"
Graphics / Video / Audio / Virtual Reality
","['fpga', 'vhdl', 'c', 'linux', 'c++']","['video', 'camera', 'vision', 'real time', 'photography']",https://lab.apertus.org/project/view/20/,https://www.apertus.org/irc-chat,https://summerofcode.withgoogle.com/archive/2017/organizations/6354847569805312/
appleseedhq,A modern open source rendering engine for animation and visual effects,"
Graphics / Video / Audio / Virtual Reality
","['c++', 'python', 'qt']","[' computer graphics', '3d', 'rendering', 'animation', 'vfx']",https://github.com/appleseedhq/appleseed/wiki/List-of-Project-ideas-for-GSoC-2017,https://groups.google.com/forum/#!forum/appleseed-dev,https://summerofcode.withgoogle.com/archive/2017/organizations/6110372931043328/
ArduPilot,The worlds most advanced open source autopilot,"
Other
","['c++', 'python', 'embedded', 'rtos', 'ros']","['autopilot', 'robotics', 'uav', 'drones', 'rovers']",http://ardupilot.org/dev/docs/gsoc-ideas-list.html,https://gitter.im/ArduPilot/GSoC,https://summerofcode.withgoogle.com/archive/2017/organizations/5801067908431872/
Babel,"Babel, the community driven compiler for writing next generation JavaScript","
Programming Languages and Development Tools
","['javascript', 'babel', 'nodejs']","['compilers', 'ast', 'minifier', 'tc39']",https://github.com/babel/babel/wiki/Google-Summer-of-Code-Proposals,https://slack.babeljs.io,https://summerofcode.withgoogle.com/archive/2017/organizations/5933754749026304/
Bazel,Fast and correct build system for Google scale,"
Programming Languages and Development Tools
","['java', 'linux', 'go']","['development tools', 'build systems']",https://github.com/bazelbuild/bazel/wiki/Project-Ideas,mailto:bazel-core@googlegroups.com,https://summerofcode.withgoogle.com/archive/2017/organizations/5765787168014336/
BeagleBoard.org Foundation,"open hardware physical computing for makers, educators and professionals","
Programming Languages and Development Tools
","['javascript', 'linux', 'beaglebone', 'python', 'c']","['real time', 'robotics', 'iot', 'physical computing', 'coprocessing']",http://bbb.io/gsocideas,http://bbb.io/gsocchat,https://summerofcode.withgoogle.com/archive/2017/organizations/5370804795604992/
Beam Community,"From distributed systems, to robust servers and language design on the Erlang VM","
Programming Languages and Development Tools
","['erlang', 'elixir', 'lisp', 'xmpp']","['realtime', 'communication system', 'database', 'clustering']",https://github.com/beamcommunity/beamcommunity.github.com/wiki,https://beamcommunity.github.io/,https://summerofcode.withgoogle.com/archive/2017/organizations/5344914732744704/
BeeWare Project,The IDEs of Python. Tools for cross-platform Python application development.,"
Programming Languages and Development Tools
","['python', 'mobile', 'ios', 'android']","['ui', 'ide', 'cross-platform']",https://github.com/pybee/pybee.github.io/wiki/GSoC-Project-Ideas,https://gitter.im/pybee,https://summerofcode.withgoogle.com/archive/2017/organizations/5213454373748736/
Berkman Klein Center for Internet and Society at Harvard University,"exploring cyberspace, sharing in its study & pioneering its development","
Web
","['ruby on rails', 'meteor.js', 'd3', 'elasticsearch', 'javascript ']","['digital rights', 'internet access', 'security and privacy', 'law', ' web']",https://cyber.harvard.edu/gsoc,https://cyber.harvard.edu/gsoc/Main_Page#Contact_Us,https://summerofcode.withgoogle.com/archive/2017/organizations/5825274612547584/
Blender Foundation,Free and open source 3D creation for artists and teams,"
Graphics / Video / Audio / Virtual Reality
","['opengl', 'opencl', 'python', 'c', 'c++']","['3d', 'animation', 'graphics', 'modeling', 'vfx']",https://wiki.blender.org/index.php/Dev:Ref/GoogleSummerOfCode/2017/Ideas,http://wiki.blender.org/index.php/Community:Chat,https://summerofcode.withgoogle.com/archive/2017/organizations/6461479528169472/
Boost C++ Libraries,Boost provides free peer-reviewed portable C++ source libraries.,"
Programming Languages and Development Tools
","['c++', 'c++11', 'c++14', 'boost']",['library'],https://svn.boost.org/trac/boost/wiki/SoC2017,http://www.boost.org/community/irc.html,https://summerofcode.withgoogle.com/archive/2017/organizations/5196100961042432/
Boston University / XIA,Crowdsourcing the future Internet,"
Cloud
","['xia', ' linux kernel', ' c', ' advanced data structures']","['computer networking', ' future internet architecture', ' research']",https://github.com/AltraMayor/XIA-for-Linux/wiki/Ideas-list,http://groups.google.com/group/linux-xia,https://summerofcode.withgoogle.com/archive/2017/organizations/4874213160648704/
BRL-CAD,"& LibreCAD, OpenSCAD, STEPcode, LinuxCNC, FreeCAD, & Slic3r!  Computer Graphics.","
Graphics / Video / Audio / Virtual Reality
","['c/c++', 'opencl', 'python', 'javascript', 'qt']","['cad', 'geometry', '3d', 'ray tracing', 'visualization']",http://brlcad.org/wiki/Google_Summer_of_Code/Project_Ideas,http://brlcad.org/wiki/IRC,https://summerofcode.withgoogle.com/archive/2017/organizations/5302987798872064/
Cadasta,"Transforming the way land & resource rights are documented, managed and stored.","
End User Applications
","['python', 'django', 'javasc', 'javascipt']","['web', 'land rights', 'mapping', 'geo', 'geospatial']",https://github.com/Cadasta/cadasta-project-ideas/wiki/Google-Summer-of-Code#cadasta-project-ideas,https://gitter.im/Cadasta/cadasta,https://summerofcode.withgoogle.com/archive/2017/organizations/6571413242642432/
Catrobat,Computational thinking for all through visual mobile programming frameworks,"
Programming Languages and Development Tools
","['android', 'java', 'html5', 'ios', 'web']","['education', 'programming tools', 'app development', 'web applications', 'scratch']",http://catrob.at/gsoc17,https://github.com/Catrobat/Catroid/wiki/Setup-working-environment,https://summerofcode.withgoogle.com/archive/2017/organizations/5758529210155008/
cBioPortal for Cancer Genomics,Developing open source solutions for precision medicine for cancer patients,"
Science and Medicine
","[' javascript', 'java', 'web', 'reactjs', 'web services']","['cancer', 'bioinformatics', 'big data', 'genomics', 'biology']",https://github.com/cBioPortal/GSoC/wiki/ideas,https://groups.google.com/forum/#!forum/cbioportal-gsoc,https://summerofcode.withgoogle.com/archive/2017/organizations/4741825894023168/
CCExtractor Development,Tools for a subtitled world.,"
Graphics / Video / Audio / Virtual Reality
","['c', 'python', 'raspberry pi', 'linux', 'visual studio']","['subtitles', 'television', 'movies', 'media']",https://ccextractor.org/public:gsoc:ideas_page_for_summer_of_code_2017,http://www.ccextractor.org/doku.php?id=public:general:support,https://summerofcode.withgoogle.com/archive/2017/organizations/5267426006532096/
Ceph,The Future of Storage,"
Data and Databases
","['c++', 'python', 'object-storage']","['cloud storage', 'storage']",http://ceph.com/gsoc2017-ideas,http://ceph.com/irc,https://summerofcode.withgoogle.com/archive/2017/organizations/6399849700261888/
CERN-HSF,"CERN-HEPSoftwareFoundation, umbrella organization for particle physics in GSoC","
Science and Medicine
","['python', 'c/c++', 'machine learning', 'data analysis', 'parallel algorithms']","['particle physics', 'high-energy physics', 'machine learning', 'physics', 'big data']",http://hepsoftwarefoundation.org/activities/gsoc.html,http://hepsoftwarefoundation.org/activities/gsoc.html,https://summerofcode.withgoogle.com/archive/2017/organizations/6360460286754816/
Chapel,a Productive Parallel Programming Language,"
Programming Languages and Development Tools
","['chapel', 'python', 'high performance computing', 'c', 'c++']","['programming languages', 'compilers', 'high performance computing', 'distributed computing', 'parallel computing']",http://chapel.cray.com/gsoc/ideas.html,http://chapel.cray.com/developers.html,https://summerofcode.withgoogle.com/archive/2017/organizations/4757669491507200/
Checker Framework,"Preventing programming errors before they happen, via easy-to-use verification","
Programming Languages and Development Tools
",['java'],"['programmer productivity', 'software engineering', 'verification']",https://checkerframework.org/gsoc-2017-ideas.html,https://groups.google.com/forum/#!forum/checker-framework-gsoc,https://summerofcode.withgoogle.com/archive/2017/organizations/6349316859887616/
Checkstyle,Dev tool to help programmers write Java code that adheres to a coding standard.,"
Programming Languages and Development Tools
","[' java', 'antlr']","['static code analysis\u200e', 'code review tool', 'coding standards', ' coding conventions']",https://github.com/checkstyle/checkstyle/wiki/Checkstyle-GSoC-2017-Project-Ideas,https://gitter.im/checkstyle/checkstyle,https://summerofcode.withgoogle.com/archive/2017/organizations/5883569398349824/
Classical Language Toolkit,NLP for the ancient world,"
Other
","[' python', 'javascript']","['nlp', 'ai', 'machine', 'machine learning', 'machine trans']",https://github.com/cltk/cltk/wiki/Project-ideas#gsoc-projects,https://gitter.im/cltk/cltk,https://summerofcode.withgoogle.com/archive/2017/organizations/4904328934457344/
"CLiPS, University of Antwerp",Computational (Psycho)Linguistics,"
Data and Databases
","['python', 'machine learning', 'mongodb', 'javascript ']","['text analytics', 'machine learning', 'computational linguistics', 'artificial intelligence', 'data mining']",http://www.clips.uantwerpen.be/projects/gsoc-2017,http://www.clips.uantwerpen.be:3001,https://summerofcode.withgoogle.com/archive/2017/organizations/4936781707345920/
Clojure,Supporting the Clojure and ClojureScript ecosystem,"
Programming Languages and Development Tools
","['clojure', 'clojurescript', 'jvm', 'javascript', 'functional programming']","['programming language', 'development tools', 'compilers', 'functional programming', 'build systems']",http://clojure-gsoc.org/project-ideas.html,http://clojurians.net/,https://summerofcode.withgoogle.com/archive/2017/organizations/5054104644616192/
Cloud Native Computing Foundation (CNCF),The CNCF is a nonprofit committed to the development of cloud native technology,"
Cloud
","['kubernetes', 'go', 'prometheus', 'fluentd', 'grpc']","['cloud', 'cloud native', 'monitoring', 'logging', 'tracing']",https://github.com/cncf/soc,http://slack.cncf.io/,https://summerofcode.withgoogle.com/archive/2017/organizations/6018829461225472/
CloudCV,Building platforms for reproducible AI research,"
Cloud
","[' python', 'django', 'angularjs', 'reactjs', ' deep learning']","['artificial intelligence', 'machine learning', 'computer vision', 'web development', 'cloud computing']",http://gsoc.cloudcv.org,https://gitter.im/Cloud-CV,https://summerofcode.withgoogle.com/archive/2017/organizations/6419112360148992/
CMU Sphinx,"Fast, Accurate, Flexible Open Source Speech Recognition","
Graphics / Video / Audio / Virtual Reality
","['c', 'cross-platform', 'hidden markov models', 'javascript ', ' python']","['speech recognition', 'user interface', 'real time', 'education', 'pronunciation']",http://cmusphinx.sourceforge.net/wiki/projectideas,http://cmusphinx.sourceforge.net/wiki/communicate,https://summerofcode.withgoogle.com/archive/2017/organizations/5510422639673344/
coala,Linting and Fixing Code for All Languages,"
Programming Languages and Development Tools
",['python'],['code analysis'],https://projects.coala.io/,http://coala.io/chat,https://summerofcode.withgoogle.com/archive/2017/organizations/5817061024464896/
Computational Biology @ University of Nebraska-Lincoln,Development of software technologies for biomedical research and applications.,"
Science and Medicine
","['javascript', 'react', 'java', 'webgl', 'mysql']","['computational biology', 'bioinformatics', 'network biology', 'systems biology', 'image analysis']",http://helikarlab.org/GSoC2017.html,mailto:helikarlab-gsoc@googlegroups.com,https://summerofcode.withgoogle.com/archive/2017/organizations/6732113738989568/
Conversations.im,"Federated, end-to-end encrypted instant messaging based on XMPP/OMEMO","
End User Applications
","['xmpp', 'java', 'android', 'javafx', 'python']","['instant messaging', 'real time', 'usabilty', 'ui', 'ux']",https://conversations.im/gsoc.html,https://conversations.im/j/gsoc@conference.conversations.im,https://summerofcode.withgoogle.com/archive/2017/organizations/5967780016816128/
Copyleft Games,"Game libraries, frameworks, and development toolkits","
Graphics / Video / Audio / Virtual Reality
","['python', 'opengl', 'javascript', 'c', 'xmpp']","['graphics', 'networking', 'web', 'education']",https://gsoc.copyleftgames.org/,https://gsoc.copyleftgames.org/,https://summerofcode.withgoogle.com/archive/2017/organizations/6180004551458816/
DBpedia,"a Large, Multilingual, Semantic Knowledge Graph","
Data and Databases
","[' java', 'scala', 'graph', 'nosql', 'rdf']","['natural language processing', 'big data', 'semantic web', 'data science', 'knowledge extraction']",http://wiki.dbpedia.org/ideas/ideas/scope:all/sort:activity-desc/tags:gsoc17,http://wiki.dbpedia.org/gsoc2017,https://summerofcode.withgoogle.com/archive/2017/organizations/5195579256733696/
Discourse,Civilized discussion for your community.,"
Social / Communications
","['ruby on rails', 'ember', ' ruby', 'javascipt', 'html/css']","['asynchronous', 'forum', 'community', ' real time', 'web development']",https://github.com/discourse/discourse/wiki/Summer-of-Code-2017-Ideas-List,https://github.com/discourse/discourse/wiki/Contact,https://summerofcode.withgoogle.com/archive/2017/organizations/4878856288731136/
Django Software Foundation,The web framework for perfectionists with deadlines.,"
Web
","['python', 'django']","['web', 'web development']",http://code.djangoproject.com/wiki/SummerOfCode2017,https://docs.djangoproject.com/en/dev/internals/contributing/new-contributors/,https://summerofcode.withgoogle.com/archive/2017/organizations/4608650232463360/
Drupal,"Drupal is a Free, Open, Modular CMS written in PHP. Let's make something amazing","
Web
","['php', ' symfony', ' sql', ' javascript', ' drupal 8']","['web', ' web development', ' content management', ' object-oriented', ' cms']",https://groups.drupal.org/node/515848,http://drupal.org/irc#drupal-google,https://summerofcode.withgoogle.com/archive/2017/organizations/6388224565968896/
Eclipse Vert.x,Eclipse Vert.x is a tool-kit for building reactive applications on the JVM,"
Programming Languages and Development Tools
","['java', 'reactive extensions', 'kotlin', 'microservices', 'event-loop']","['reactive', 'unopionated', 'polyglot', 'distributed', 'high performance computing']",http://vertx.io/gsoc/,http://vertx.io/community/,https://summerofcode.withgoogle.com/archive/2017/organizations/5851994006749184/
Elm Software Foundation,A delightful functional language for reliable webapps.,"
Programming Languages and Development Tools
","['elm', 'javascript', 'haskell']","['functional programming', 'compilers', 'web applications', 'programming languages', 'user interface']",https://github.com/elm-lang/projects/,http://elmlang.herokuapp.com/,https://summerofcode.withgoogle.com/archive/2017/organizations/5658990390280192/
Environmental Data And Governance Initiative,International network addressing threats to US environmental & energy policy,"
Data and Databases
","['python', 'javascript', 'ruby on rails', 'google cloud', 'go']","['crawling', 'api', 'open data', 'machine learning', 'open science']",https://envirodatagov.org/gsoc/,https://archivers-slack.herokuapp.com/,https://summerofcode.withgoogle.com/archive/2017/organizations/4941941976334336/
Fedora Project,"Fedora Linux is built on the foundations of Freedom, Friends, Features, & First","
Operating Systems
","['python', 'linux', 'git', 'postgres', 'ansible']","['linux distribution', 'upstream', 'community', 'web development', 'realtime messaging']",https://fedoraproject.org/wiki/Summer_coding_ideas_for_2017,https://webchat.freenode.net/?channels=#fedora-summer-coding,https://summerofcode.withgoogle.com/archive/2017/organizations/5870752142196736/
FFmpeg,"Cross-platform software to convert audio, video and subtitles.","
Graphics / Video / Audio / Virtual Reality
","['c', 'assembly', 'git']","['multimedia', 'video', 'audio', 'filter', 'compressio']",https://trac.ffmpeg.org/wiki/SponsoringPrograms/GSoC/2017,https://ffmpeg.org/contact.html#IRCChannels,https://summerofcode.withgoogle.com/archive/2017/organizations/4641979178680320/
FOSDEM,The organization that handles all aspects of the FOSDEM conference,"
Programming Languages and Development Tools
","['git', 'ruby on rails', 'postgresql', 'html/css']","['web', 'programming tools', 'programming languages', 'ruby', 'rails']",http://fosdem.org/gsoc2017ideas,http://webchat.freenode.net/?channels=fosdem-gsoc,https://summerofcode.withgoogle.com/archive/2017/organizations/5733807646834688/
FOSSASIA,Improve People's Lives,"
Other
","['python', 'java', 'javascript', 'android', 'php']","['event management', 'machine learning', 'artificial intelligence', 'cloud']",http://labs.fossasia.org/ideas.html,http://blog.fossasia.org/contact/,https://summerofcode.withgoogle.com/archive/2017/organizations/5936828200779776/
Free and Open Source Silicon Foundation,Umbrella for various projects around open source hardware and tools,"
Other
","['verilog', 'c', 'vhdl', 'python']","['hardware', 'eda tools', 'web']",http://fossi-foundation.org/gsoc17-ideas.html,http://fossi-foundation.org/getinvolved.html,https://summerofcode.withgoogle.com/archive/2017/organizations/5021512822161408/
FreeBSD,FreeBSD: The Foundation of the Internet,"
Operating Systems
","['c/c++', 'llvm', 'shell', 'make', 'assembly']","['virtualization', 'kernel', 'cloud', 'embedded', 'security']",https://wiki.freebsd.org/SummerOfCodeIdeas,https://wiki.FreeBSD.org/SummerOfCodeIRC,https://summerofcode.withgoogle.com/archive/2017/organizations/5058101916991488/
Freifunk,Freifunk is a non-commercial initiative for free and open wireless networks.,"
Social / Communications
","['lede/openwrt', 'c', 'html/css', 'shell script', ' javascript']","['wireless', 'routing', 'monitoring', 'firmware development', 'user interface']",https://wiki.freifunk.net/Ideas,https://wiki.freifunk.net/Freifunk-Chat,https://summerofcode.withgoogle.com/archive/2017/organizations/6004756195573760/
Frescobaldi,Edit music scores with GNU LilyPond.,"
End User Applications
","['python', 'pyqt']",['music engraving'],https://github.com/wbsoft/frescobaldi/wiki/Google-Summer-of-Code,https://groups.google.com/forum/#!forum/frescobaldi,https://summerofcode.withgoogle.com/archive/2017/organizations/4597892144693248/
"Genes, Genomes and Variation",Genome databases and browsers,"
Science and Medicine
","['mysql', 'perl', 'javascript']","['genomics', 'web']",http://www.ensembl.info/gsoc-2017/,http://lists.ensembl.org/mailman/listinfo/dev,https://summerofcode.withgoogle.com/archive/2017/organizations/5455879507804160/
GENIVI Development Platform,Open Source Automotive Development Platform,"
Programming Languages and Development Tools
","['linux', 'c', 'yocto', 'c++', 'qt']","['automotive', 'cars', 'embedded systems', 'embedded', 'automobile']",https://at.projects.genivi.org/wiki/display/GDP/GDP+GSoC+ideas,https://at.projects.genivi.org/wiki/pages/viewpage.action?pageId=11567210#GENIVIDevelopmentPlatform(GDP)-HowdoIcontributetotheGENIVIDevelopmentPlatform?,https://summerofcode.withgoogle.com/archive/2017/organizations/4914104280023040/
Gentoo Foundation,"A flexible, source-based Linux distribution.","
Operating Systems
","['shell', 'c/c++', 'python', 'linux']","['linux', 'package management', 'operating system', 'embedded', 'security']",https://wiki.gentoo.org/wiki/Google_Summer_of_Code/2017/Ideas,https://wiki.gentoo.org/wiki/Google_Summer_of_Code/2017/Application_Guidelines,https://summerofcode.withgoogle.com/archive/2017/organizations/6287928489672704/
Git,"fast, scalable, distributed revision control system","
Programming Languages and Development Tools
","['c', ' shell script', ' git']","['version control', ' dvcs']",https://git.github.io/SoC-2017-Ideas/,http://git-scm.com/community,https://summerofcode.withgoogle.com/archive/2017/organizations/5061577619275776/
Global Alliance for Genomics and Health,We develop open standards and tools for genomics to benefit human health.,"
Science and Medicine
","[' python', ' java', 'sql', 'c++', 'mongodb']","['genomics', 'standards', 'data sharing', ' bioinformatics', 'web']",https://docs.google.com/document/d/1cdrWkFMqwZ38revM3G-ROJSTeNnh-Zt2XE_DcXVxo1I/edit?usp=sharing,https://docs.google.com/document/d/1cdrWkFMqwZ38revM3G-ROJSTeNnh-Zt2XE_DcXVxo1I/edit?usp=sharing,https://summerofcode.withgoogle.com/archive/2017/organizations/6101170829393920/
GNOME,Non-profit organization that creates a computing platform for the general public,"
End User Applications
","['c', 'python', 'gtk+', ' javascript', 'gobject']","['desktop', 'applications', 'operating system']",https://wiki.gnome.org/Outreach/SummerOfCode/2017/Ideas,https://wiki.gnome.org/Community/GettingInTouch/IRC,https://summerofcode.withgoogle.com/archive/2017/organizations/6040004186865664/
GNSS-SDR,An open source Global Navigation Satellite Systems software-defined receiver,"
Science and Medicine
","['c/c++', 'c++', 'c++11', 'c++14', 'gnss']","['gnss', 'geolocation', 'navigation', 'software defined radio', 'communications']",http://gnss-sdr.org/google-summer-code-2017-ideas-list/,http://lists.sourceforge.net/lists/listinfo/gnss-sdr-developers,https://summerofcode.withgoogle.com/archive/2017/organizations/5204929132101632/
GNU Octave,Free Your Numbers,"
Programming Languages and Development Tools
","['c++', 'hg']","['mathematics', ' numerical computation', 'matlab', 'scientific computing', 'numerical methods']",http://wiki.octave.org/Summer_of_Code_Project_Ideas,https://webchat.freenode.net/?channels=#octave,https://summerofcode.withgoogle.com/archive/2017/organizations/6187477526118400/
GNU Radio,The Free & Open Software Radio Ecosystem,"
Science and Medicine
","['software defined radio', 'c++', 'python', 'dsp']","['wireless communication', 'signal processing', 'radar', 'gui']",http://gnuradio.org/redmine/projects/gnuradio/wiki/GSoCIdeas,http://gnuradio.org/redmine/projects/gnuradio/wiki/IRC,https://summerofcode.withgoogle.com/archive/2017/organizations/5467278887878656/
Green Navigation,Energy efficient routing for electric vehicles,"
Other
","['javascript', 'java', 'react', 'apache spark', 'tensorflow']","['routing', 'eletric mobility', 'web', 'machine learning']",http://greennav.io/docs/ideas-page/,http://grennavigation.slack.com,https://summerofcode.withgoogle.com/archive/2017/organizations/6147412729004032/
Haiku,Light open-source operating system that specifically targets personal computing.,"
Operating Systems
","['c++', 'posix']","[' desktop integration', 'operating system', 'kernel', 'user interface', 'frameworks']",https://www.haiku-os.org/community/gsoc/2017/ideas,https://www.haiku-os.org/community/irc,https://summerofcode.withgoogle.com/archive/2017/organizations/5096040436858880/
Homebrew,Homebrew is a package manager for macOS written in Ruby.,"
Programming Languages and Development Tools
","['ruby', 'git', 'github', 'bash', 'macos']","['package management', 'distribution', 'development tools']",https://github.com/Homebrew/Outreachy-and-Google-Summer-of-Code,https://github.com/Homebrew/brew#community,https://summerofcode.withgoogle.com/archive/2017/organizations/6752289616297984/
illumos.org,Open Source successor of OpenSolaris,"
Operating Systems
","['dtrace', 'illumos', 'unix', 'openzfs', 'zfs']","['drivers', 'virtualization', 'storage', 'networking', 'kernel']",https://wiki.illumos.org/display/illumos/Project+Ideas,https://wiki.illumos.org/display/illumos/Google+Summer+of+Code,https://summerofcode.withgoogle.com/archive/2017/organizations/6221940343701504/
INCF,Advancing global collaborative brain research,"
Science and Medicine
","['c++', 'python', 'java', 'xml', 'gpu']","['neuroscience', 'big data', 'brain modeling', 'science', 'bio/neuro image processing']",https://www.incf.org/collaborate/tool-development/google-summer-of-code/gsoc-2017-project-ideas,mailto:gsoc@incf.org,https://summerofcode.withgoogle.com/archive/2017/organizations/6593178794721280/
Inkscape,"Inkscape is a professional vector graphics editor for Windows, Mac OSX, & Linux.","
Graphics / Video / Audio / Virtual Reality
","['svg', 'css', 'c++', 'c++11', 'python']","[' graphics', 'web', 'standards', 'geometry']",http://wiki.inkscape.org/wiki/index.php/Google_Summer_of_Code#Suggested_Project_Ideas,https://inkscape.org/en/community/discussion/,https://summerofcode.withgoogle.com/archive/2017/organizations/5404830063394816/
Institute for Artificial Intelligence,Research in Artificial Intelligence and Perception for Autonomous Mobile Robots,"
Science and Medicine
","['lisp', 'prolog', 'c++', 'python', 'ros']","['artificial intelligence', 'robotics', 'knowledge representation', 'machine learning', 'robot perception']",https://ai.uni-bremen.de/teaching/gsoc2017,https://gitter.im/iai_gsoc17/general,https://summerofcode.withgoogle.com/archive/2017/organizations/6330829038944256/
Intel Media and Audio for Linux,"Open Source Media libraries, Applications and User space driver.","
Graphics / Video / Audio / Virtual Reality
","['video', 'decode', 'encode', 'vpp', 'multimedia']","['accelerated media', 'video', 'compress', 'encoding', 'camera']",https://01.org/documentation/gsoc-2017-ideas,https://01.org/linuxmedia/vaapi,https://summerofcode.withgoogle.com/archive/2017/organizations/6149200777576448/
Internet Archive,Universal Access to All Knowledge,"
Web
","['python', 'javascript']","['web archiving', 'non-profit']",https://docs.google.com/a/archive.org/document/d/1MHCUroc4pGdUTfUZ-Ro67HVg-T46Jw07aYx0T4BnfHI/edit?usp=sharing,mailto:info@archive.org,https://summerofcode.withgoogle.com/archive/2017/organizations/5373878247358464/
JBoss Community,Community of Java projects around JBoss Middleware,"
Programming Languages and Development Tools
","['java', 'android', 'asciidoctor', 'mobil', 'kubernetes']","['testing', 'monitoring', 'enterprise application', 'eclipse', 'openshift']",https://developer.jboss.org/wiki/JBossCommunityGoogleSummerOfCode2017Ideas,https://developer.jboss.org/wiki/JBossGSoCContactInformation,https://summerofcode.withgoogle.com/archive/2017/organizations/5307802188775424/
JdeRobot - Universidad Rey Juan Carlos,A software framework for developing applications in robotics and computer vision,"
Other
","['python', 'c/c++', 'ros', 'gazebo']","['robotics', 'computer vision', 'robot simulator', 'teaching']",http://jderobot.org/Collaborate#Ideas_List_.28for_Google_Summer_of_Code_2017.29,http://jderobot.org/Collaborate#Mailing_List,https://summerofcode.withgoogle.com/archive/2017/organizations/4923454155390976/
Jitsi,Advanced Real-Time Communication,"
Social / Communications
","['webrtc', 'java', 'javascript', 'sip', 'xmpp']","['multimedia', 'real time']",https://jitsi.org/Development/GSoC17,https://jitsi.org/Development/MailingLists,https://summerofcode.withgoogle.com/archive/2017/organizations/5461033468559360/
Joomla,A free and Open Source CMS Trusted By Millions for their Websites,"
Web
","['php', 'html', 'html/css', ' javascript', 'jquery']","['web', 'web application', ' cms', ' object-oriented']",https://docs.joomla.org/GSOC_2017_Project_Ideas,http://irc.lc/freenode/joomla/,https://summerofcode.withgoogle.com/archive/2017/organizations/5861923971137536/
JSK Robotics Laboratory,Humanoid Robotics Laboratory at the University of Tokyo,"
Science and Medicine
","['ros', 'lisp', 'prolog', 'openhrp', 'openrtm']","['robotics', 'artificial intelligence']",http://www.jsk.imi.i.u-tokyo.ac.jp/gsoc/2017,https://gitter.im/euslisp/jskeus,https://summerofcode.withgoogle.com/archive/2017/organizations/6380010977886208/
K-9 Mail,K-9 Mail – Advanced Email for Android,"
End User Applications
","['android', 'java']","['email', 'communication']",https://github.com/k9mail/k-9/wiki/Google-Summer-of-Code-2017,https://riot.im/app/#/room/#freenode_#k-9,https://summerofcode.withgoogle.com/archive/2017/organizations/6184001823834112/
